sample,files,species,treatment,specimen
SRR5828214,outputs/SRR5828214_quant.sf,mouse,resting,5828214
SRR5828215,outputs/SRR5828215_quant.sf,mouse,resting,5828215
Mouse_flash_IL2IKA,outputs/Mouse_flash_IL2IKA_quant.sf,mouse,coculture,IL2IKA
Mouse_flash_IL2IKB,outputs/Mouse_flash_IL2IKB_quant.sf,mouse,coculture,IL2IKB
Mouse_flash_IL2IKC,outputs/Mouse_flash_IL2IKC_quant.sf,mouse,coculture,IL2IKC
Mouse_flash_T252_1,outputs/Mouse_flash_T252_1_quant.sf,mouse,coculture,T252_1
