79501	258399	n:m	
79501	MOUSE27312	n:m	297630
79501	MOUSE27314	n:m	
HUMAN00003	68767	n:1	573349
81399	258397	n:1	
81399	258397	n:1	
HUMAN00008	231004	1:1	898150
26155	57741	1:1	916766
339451	231003	1:1	576345
84808	74183	1:1	844443
9636	100038882	1:1	301938
401934	100045778	1:1	297981
254173	MOUSE35148	1:1	518130
8784	21936	1:1	578686
7293	22163	1:1	578827
51150	20318	1:1	574148
126792	117592	1:1	
388581	67389	1:1	873354
118424	140499	1:1	573163
116983	140500	1:1	573836
126789	433813	1:1	908460
54973	71957	1:1	902054
80772	79554	1:1	883042
83756	83771	1:1	289310
1855	13542	1:1	904190
54587	74761	1:1	897701
54998	66077	1:1	854796
81669	56036	1:1	578349
55052	66448	1:1	860607
441869	MOUSE35112	1:1	580042
643965	320587	1:1	281325
64856	246228	1:1	888731
55210	108888	1:1	572183
339453	381582	1:1	838643
29101	68991	1:1	766796
643988	230991	1:1	773917
HUMAN00068	76580	1:1	881833
8510	26561	1:1	893200
984	12537	n:1	574203
728661	320541	1:1	823015
728642	12537	n:1	
65220	MOUSE35093	1:1	903818
2782	14688	1:1	571937
339456	69671	1:1	848170
HUMAN00089	544678	1:1	815433
2563	14403	1:1	672943
5590	18762	1:1	578468
HUMAN00094	67513	1:1	770681
6497	20481	1:1	821189
11079	67830	1:1	854546
5192	668173	1:1	687550
9651	MOUSE35054	1:1	815251
HUMAN00106	269614	1:1	879918
388585	15208	1:1	576645
8764	230979	1:1	577863
HUMAN00111	66469	1:1	553738
79258	MOUSE35037	1:1	901262
140625	73353	1:1	276791
63976	70673	1:1	575162
27237	230972	1:1	575344
1953	230971	1:1	577204
127262	67808	1:1	906360
49856	59002	1:1	814459
7161	MOUSE35009	1:1	866511
148870	381580	1:1	864107
388588	68859	1:1	279058
57470	MOUSE34998	1:1	876144
9731	230967	1:1	893513
1677	13368	1:1	910317
339448	97159	1:1	281981
55966	230959	1:1	865552
261734	260305	1:1	849979
8514	16498	1:1	842619
26038	269610	1:1	572463
6146	19934	1:1	914841
388591	433809	1:1	859562
23463	57295	1:1	692549
390992	15207	1:1	797131
387509	100129	1:1	895950
11332	70025	1:1	891996
54626	15206	1:1	575375
8718	85030	1:1	802928
57449	269608	1:1	878488
79707	74035	1:1	894315
80835	110326	1:1	289302
3104	100090	1:1	581939
9903	242785	1:1	578898
148479	230936	1:1	894180
90326	69876	1:1	879363
55735	230935	1:1	770530
23261	100072	1:1	886992
9341	22319	1:1	845956
8863	18628	1:1	890997
10911	24111	1:1	849758
3604	21942	1:1	575856
11315	57320	1:1	780620
54206	74155	1:1	897568
50651	242773	1:1	574185
473	MOUSE34899	1:1	575609
2023	13806	1:m	916956
2023	13806	1:m	
765	12353	1:1	674458
155184	435818	1:1	573670
6518	56485	1:1	572645
80045	269604	1:1	577423
9563	100198	1:1	881094
80176	74646	1:1	840862
84275	70556	1:1	522603
199953	MOUSE34875	1:1	826320
HUMAN00206	18707	1:1	677535
22883	65945	1:1	843474
56998	67087	1:1	902572
84328	69151	1:1	904304
64802	66454	1:1	918248
116362	63954	1:1	852591
10277	63958	1:1	676831
HUMAN00218	16561	1:1	573967
5226	110208	1:1	903496
378708	69928	1:1	523890
1325	12854	1:1	815399
1676	13347	1:1	848350
5195	56273	1:1	572602
54897	69743	1:1	900530
23435	230908	1:1	575840
10747	17175	1:1	582354
6723	20810	1:1	872233
5394	MOUSE34801	1:1	877004
2475	56717	1:1	707506
10218	654812	1:1	577887
29914	71707	1:1	776412
57540	242748	1:1	846469
26232	230904	1:1	896212
26270	MOUSE34781	1:1	896211
HUMAN00251	71890	1:1	786762
374946	70433	1:1	800046
57085	11610	1:1	902774
4524	MOUSE34772	1:1	743596
HUMAN00261	MOUSE34767	1:1	883168
4878	230899	1:1	805630
4879	18158	1:1	744648
90231	77034	1:1	911926
5351	18822	1:1	556062
9927	170731	1:1	772956
60672	28010	1:1	827965
943	21941	1:1	877747
7133	21938	1:1	844589
55187	MOUSE34710	1:1	676786
9249	MOUSE34703	1:1	546444
343066	627085	1:m	
343066	435815	1:m	745349
343066	230890	1:m	
343066	329993	1:m	
126767	230883	1:1	745353
93190	69364	1:1	865257
390999	77632	n:1	
65121	329986	n:m	
65121	279185	n:m	
65121	277666	n:m	
65121	195555	n:m	802826
65121	329984	n:m	
65121	MOUSE34672	n:m	
65121	MOUSE34677	n:m	
65121	100040885	n:m	
65121	665802	n:m	
65121	100040981	n:m	
65121	381724	n:m	
65121	MOUSE36832	n:m	
65121	100041032	n:m	
65121	624421	n:m	
65121	MOUSE36839	n:m	
65121	100041102	n:m	
65121	108169097	n:m	
65121	100041253	n:m	
65121	MOUSE36851	n:m	
65121	100041253	n:m	
65121	320549	n:m	
65121	100041354	n:m	
65121	100040981	n:m	
65121	381724	n:m	
65121	MOUSE36864	n:m	
65121	100041354	n:m	
65121	MOUSE55653	n:m	
65121	100041253	n:m	
65121	100041253	n:m	
65121	624421	n:m	
65121	100041102	n:m	
65121	MOUSE55701	n:m	
65121	100041354	n:m	
65121	100041253	n:m	
440560	77632	n:1	802823
65122	329986	n:m	
65122	279185	n:m	
65122	277666	n:m	
65122	195555	n:m	
65122	329984	n:m	
65122	MOUSE34672	n:m	
65122	MOUSE34677	n:m	
65122	100040885	n:m	
65122	665802	n:m	
65122	100040981	n:m	
65122	381724	n:m	
65122	MOUSE36832	n:m	
65122	100041032	n:m	
65122	624421	n:m	
65122	MOUSE36839	n:m	
65122	100041102	n:m	
65122	108169097	n:m	
65122	100041253	n:m	
65122	MOUSE36851	n:m	802846
65122	100041253	n:m	
65122	320549	n:m	
65122	100041354	n:m	
65122	100040981	n:m	
65122	381724	n:m	
65122	MOUSE36864	n:m	
65122	100041354	n:m	
65122	MOUSE55653	n:m	
65122	100041253	n:m	
65122	100041253	n:m	
65122	624421	n:m	
65122	100041102	n:m	
65122	MOUSE55701	n:m	
65122	100041354	n:m	
65122	100041253	n:m	
343071	329986	n:m	
343071	279185	n:m	
343071	277666	n:m	
343071	195555	n:m	
343071	329984	n:m	
343071	MOUSE34672	n:m	
343071	MOUSE34677	n:m	
343071	100040885	n:m	
343071	665802	n:m	
343071	100040981	n:m	
343071	381724	n:m	
343071	MOUSE36832	n:m	
343071	100041032	n:m	
343071	624421	n:m	
343071	MOUSE36839	n:m	
343071	100041102	n:m	
343071	108169097	n:m	
343071	100041253	n:m	
343071	MOUSE36851	n:m	
343071	100041253	n:m	
343071	320549	n:m	
343071	100041354	n:m	
343071	100040981	n:m	287347
343071	381724	n:m	
343071	MOUSE36864	n:m	
343071	100041354	n:m	
343071	MOUSE55653	n:m	
343071	100041253	n:m	
343071	100041253	n:m	
343071	624421	n:m	
343071	100041102	n:m	
343071	MOUSE55701	n:m	
343071	100041354	n:m	
343071	100041253	n:m	
441871	77632	n:1	
440561	77632	n:1	
101929983	83491	n:1	802822
441873	77632	n:1	
441873	77632	n:1	
343070	83491	n:1	
HUMAN00294	329986	n:m	
HUMAN00294	279185	n:m	
HUMAN00294	277666	n:m	
HUMAN00294	195555	n:m	
HUMAN00294	329984	n:m	
HUMAN00294	MOUSE34672	n:m	
HUMAN00294	MOUSE34677	n:m	
HUMAN00294	100040885	n:m	
HUMAN00294	665802	n:m	
HUMAN00294	100040981	n:m	
HUMAN00294	381724	n:m	
HUMAN00294	MOUSE36832	n:m	
HUMAN00294	100041032	n:m	
HUMAN00294	624421	n:m	
HUMAN00294	MOUSE36839	n:m	
HUMAN00294	100041102	n:m	
HUMAN00294	108169097	n:m	
HUMAN00294	100041253	n:m	
HUMAN00294	MOUSE36851	n:m	
HUMAN00294	100041253	n:m	
HUMAN00294	320549	n:m	
HUMAN00294	100041354	n:m	
HUMAN00294	100040981	n:m	
HUMAN00294	381724	n:m	802827
HUMAN00294	MOUSE36864	n:m	
HUMAN00294	100041354	n:m	
HUMAN00294	MOUSE55653	n:m	
HUMAN00294	100041253	n:m	
HUMAN00294	100041253	n:m	
HUMAN00294	624421	n:m	
HUMAN00294	100041102	n:m	
HUMAN00294	MOUSE55701	n:m	
HUMAN00294	100041354	n:m	
HUMAN00294	100041253	n:m	
391002	77632	n:1	
653619	77632	n:1	
729528	329986	n:m	
729528	279185	n:m	
729528	277666	n:m	
729528	195555	n:m	
729528	329984	n:m	
729528	MOUSE34672	n:m	
729528	MOUSE34677	n:m	
729528	100040885	n:m	
729528	665802	n:m	
729528	100040981	n:m	
729528	381724	n:m	
729528	MOUSE36832	n:m	
729528	100041032	n:m	
729528	624421	n:m	
729528	MOUSE36839	n:m	
729528	100041102	n:m	
729528	108169097	n:m	
729528	100041253	n:m	
729528	MOUSE36851	n:m	
729528	100041253	n:m	
729528	320549	n:m	
729528	100041354	n:m	
729528	100040981	n:m	
729528	381724	n:m	
729528	MOUSE36864	n:m	
729528	100041354	n:m	
729528	MOUSE55653	n:m	
729528	100041253	n:m	
729528	100041253	n:m	
729528	624421	n:m	802852
729528	100041102	n:m	
729528	MOUSE55701	n:m	
729528	100041354	n:m	
729528	100041253	n:m	
HUMAN00299	331195	1:m	
HUMAN00299	MOUSE36844	1:m	
HUMAN00299	MOUSE36854	1:m	802874
HUMAN00299	MOUSE55698	1:m	
HUMAN00299	331195	1:m	
HUMAN00299	MOUSE55717	1:m	
391004	329986	n:m	
391004	279185	n:m	
