sample,files,species,treatment
HA_R,outputs/quant_hs_nonribo/HA_R_quant/quant.sf,human,nkp46_resting
HB_R,outputs/quant_hs_nonribo/HB_R_quant/quant.sf,human,nkp46_resting
HC_R,outputs/quant_hs_nonribo/HC_R_quant/quant.sf,human,nkp46_resting
HD_R,outputs/quant_hs_nonribo/HD_R_quant/quant.sf,human,nkp46_resting
HE_IL2,outputs/quant_hs_nonribo/HE_IL2_quant/quant.sf,human,nkp46_activated
HF_IL2,outputs/quant_hs_nonribo/HF_IL2_quant/quant.sf,human,nkp46_activated
HG_IL2,outputs/quant_hs_nonribo/HG_IL2_quant/quant.sf,human,nkp46_activated
HH_IL2,outputs/quant_hs_nonribo/HH_IL2_quant/quant.sf,human,nkp46_activated
